Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
delay(5),Chrome 87.0.4280.88,,,2021-01-05 20:11:58,2021-01-05 20:12:03,5.005s,PASSED
"enhancedClick(findTestObject(""SF_Lightning/Service/Case_Object/Obj_Case_ChangeOwnertoQueue/queue""))",Chrome 87.0.4280.88,,,2021-01-05 20:12:03,2021-01-05 20:12:04,0.907s,PASSED
"setText(findTestObject(""SF_Lightning/Service/Case_Object/Obj08_Case_QueueVerification/queuename""), ""Medium"")",Chrome 87.0.4280.88,,,2021-01-05 20:12:04,2021-01-05 20:12:05,1.340s,PASSED
"enhancedClick(findTestObject(""SF_Lightning/Service/TaT_Cases/Case_Change Owner_1st item""), STOP_ON_FAILURE)",Chrome 87.0.4280.88,,,2021-01-05 20:12:05,2021-01-05 20:12:07,1.664s,PASSED
"enhancedClick(findTestObject(""SF_Lightning/Service/Case_Object/Obj08_Case_QueueVerification/submit""), STOP_ON_FAILURE)",Chrome 87.0.4280.88,,,2021-01-05 20:12:07,2021-01-05 20:12:08,0.963s,PASSED
delay(5),Chrome 87.0.4280.88,,,2021-01-05 20:12:08,2021-01-05 20:12:13,5.011s,PASSED
,,,,,,,
Test Cases/SF_Lightning/Service/TaT_Cases/TC04_Agent accept the case,Chrome 87.0.4280.88,,,2021-01-05 20:12:13,2021-01-05 20:12:59,46.357s,PASSED
navigateToUrl(URL),Chrome 87.0.4280.88,,,2021-01-05 20:12:13,2021-01-05 20:12:13,0.339s,PASSED
delay(5),Chrome 87.0.4280.88,,,2021-01-05 20:12:13,2021-01-05 20:12:18,5.012s,PASSED
refresh(),Chrome 87.0.4280.88,,,2021-01-05 20:12:18,2021-01-05 20:12:18,0.219s,PASSED
"setText(findTestObject(""SF_Lightning/Login/username""), ""qamarlabsapprover@gmail.com"")",Chrome 87.0.4280.88,,,2021-01-05 20:12:18,2021-01-05 20:12:19,0.904s,PASSED
"setText(findTestObject(""SF_Lightning/Login/password""), ""marlabs5678"")",Chrome 87.0.4280.88,,,2021-01-05 20:12:19,2021-01-05 20:12:20,0.710s,PASSED
"click(findTestObject(""SF_Lightning/Login/login""))",Chrome 87.0.4280.88,,,2021-01-05 20:12:20,2021-01-05 20:12:21,1.375s,PASSED
delay(5),Chrome 87.0.4280.88,,,2021-01-05 20:12:21,2021-01-05 20:12:26,5.017s,PASSED
"enhancedClick(findTestObject(""SF_Lightning/Login/applauncher""))",Chrome 87.0.4280.88,,,2021-01-05 20:12:26,2021-01-05 20:12:28,1.651s,PASSED
"setText(findTestObject(""SF_Lightning/Sales/Lead_Object/Obj_Lead_Add_Manual/searchsales""), ""Service Console"")",Chrome 87.0.4280.88,,,2021-01-05 20:12:28,2021-01-05 20:12:30,2.256s,PASSED
"click(findTestObject(""SF_Lightning/Service/Entitlement_Object/Obj01_CreateEntitlement/App Launcher_Service Console""), STOP_ON_FAILURE)",Chrome 87.0.4280.88,,,2021-01-05 20:12:30,2021-01-05 20:12:31,0.866s,PASSED
delay(3),Chrome 87.0.4280.88,,,2021-01-05 20:12:31,2021-01-05 20:12:34,3.018s,PASSED
"enhancedClick(findTestObject(""SF_Lightning/Service/Omni Channel/Obj04_Verify Omni channel is available/Omni Channel_Header Lnk""), STOP_ON_FAILURE)",Chrome 87.0.4280.88,,,2021-01-05 20:12:34,2021-01-05 20:12:36,2.218s,PASSED
"enhancedClick(findTestObject(""SF_Lightning/Service/Omni Channel/Obj05_Verify change in status of Omni channel/OC_Status Drop Down""))",Chrome 87.0.4280.88,,,2021-01-05 20:12:36,2021-01-05 20:12:37,0.446s,PASSED
"enhancedClick(findTestObject(""SF_Lightning/Service/Omni Channel/Obj05_Verify change in status of Omni channel/OC_Status_Available""))",Chrome 87.0.4280.88,,,2021-01-05 20:12:37,2021-01-05 20:12:47,9.804s,PASSED
delay(3),Chrome 87.0.4280.88,,,2021-01-05 20:12:47,2021-01-05 20:12:50,3.009s,PASSED
"verifyElementText(findTestObject(""SF_Lightning/Service/Omni Channel/Obj05_Verify change in status of Omni channel/OC_Status Title""), ""Available - Case"")",Chrome 87.0.4280.88,,,2021-01-05 20:12:50,2021-01-05 20:12:50,0.371s,PASSED
delay(3),Chrome 87.0.4280.88,,,2021-01-05 20:12:50,2021-01-05 20:12:53,3.013s,PASSED
"enhancedClick(findTestObject(""SF_Lightning/Service/TaT_Cases/OmniChannel_Accept Case B""))",Chrome 87.0.4280.88,,,2021-01-05 20:12:53,2021-01-05 20:12:54,0.833s,PASSED
delay(5),Chrome 87.0.4280.88,,,2021-01-05 20:12:54,2021-01-05 20:12:59,5.017s,PASSED
,,,,,,,
Test Cases/SF_Lightning/Service/TaT_Cases/TC05_Verify Agent able to view the Milestone,Chrome 87.0.4280.88,,,2021-01-05 20:12:59,2021-01-05 20:13:10,10.646s,PASSED
refresh(),Chrome 87.0.4280.88,,,2021-01-05 20:12:59,2021-01-05 20:12:59,0.026s,PASSED
delay(3),Chrome 87.0.4280.88,,,2021-01-05 20:12:59,2021-01-05 20:13:02,3.014s,PASSED
"verifyElementText(findTestObject(""SF_Lightning/Service/TaT_Cases/Case_TAT_Ent Name Details Page""), ""Test EP 01_Milestone"")",Chrome 87.0.4280.88,,,2021-01-05 20:13:02,2021-01-05 20:13:07,4.343s,PASSED
delay(3),Chrome 87.0.4280.88,,,2021-01-05 20:13:07,2021-01-05 20:13:10,3.001s,PASSED
,,,,,,,
Test Cases/SF_Lightning/Service/TaT_Cases/TC06_Agent able to view the Warning on Subject,Chrome 87.0.4280.88,,,2021-01-05 20:13:10,2021-01-05 20:15:01,1m - 51.147s,PASSED
refresh(),Chrome 87.0.4280.88,,,2021-01-05 20:13:10,2021-01-05 20:13:10,0.021s,PASSED
delay(3),Chrome 87.0.4280.88,,,2021-01-05 20:13:10,2021-01-05 20:13:13,3.009s,PASSED
"enhancedClick(findTestObject(""SF_Lightning/Service/TaT_Cases/Case_Edit B""))",Chrome 87.0.4280.88,,,2021-01-05 20:13:13,2021-01-05 20:13:16,2.857s,PASSED
"click(findTestObject(""SF_Lightning/Service/Entitlement_Object/Obj03_Verify Entitlement Process name in Case/Ent_RL_Case_Priority""))",Chrome 87.0.4280.88,,,2021-01-05 20:13:16,2021-01-05 20:13:17,1.735s,PASSED
"enhancedClick(findTestObject(""SF_Lightning/Service/Entitlement_Object/Obj03_Verify Entitlement Process name in Case/Ent_RL_Case_Priority_High""))",Chrome 87.0.4280.88,,,2021-01-05 20:13:17,2021-01-05 20:13:18,0.612s,PASSED
"click(findTestObject(""SF_Lightning/Service/TaT_Cases/Case_Edit_Save B""))",Chrome 87.0.4280.88,,,2021-01-05 20:13:18,2021-01-05 20:13:18,0.405s,PASSED
delay(90),Chrome 87.0.4280.88,,,2021-01-05 20:13:18,2021-01-05 20:14:49,1m - 30.011s,PASSED
refresh(),Chrome 87.0.4280.88,,,2021-01-05 20:14:49,2021-01-05 20:14:49,0.035s,PASSED
refresh(),Chrome 87.0.4280.88,,,2021-01-05 20:14:49,2021-01-05 20:14:50,1.656s,PASSED
"verifyElementText(findTestObject(""SF_Lightning/Service/Entitlement_Object/Obj04_Verify Entitlement Success on Case/Case_Subject_Title_Warning""), ""Warning action completed"")",Chrome 87.0.4280.88,,,2021-01-05 20:14:50,2021-01-05 20:14:56,5.537s,PASSED
delay(5),Chrome 87.0.4280.88,,,2021-01-05 20:14:56,2021-01-05 20:15:01,5.005s,PASSED
,,,,,,,
Test Cases/SF_Lightning/Service/TaT_Cases/TC07_Agent complete the task within the Milestone,Chrome 87.0.4280.88,,,2021-01-05 20:15:01,2021-01-05 20:15:15,14.445s,PASSED
delay(3),Chrome 87.0.4280.88,,,2021-01-05 20:15:01,2021-01-05 20:15:04,3.015s,PASSED
"enhancedClick(findTestObject(""SF_Lightning/Service/Entitlement_Object/Obj04_Verify Entitlement Success on Case/Case_Mark as Complete""))",Chrome 87.0.4280.88,,,2021-01-05 20:15:04,2021-01-05 20:15:07,3.063s,PASSED
refresh(),Chrome 87.0.4280.88,,,2021-01-05 20:15:07,2021-01-05 20:15:07,0.021s,PASSED
"verifyElementText(findTestObject(""SF_Lightning/Service/Entitlement_Object/Obj04_Verify Entitlement Success on Case/Case_Subject_Title Name""), ""Entitlement Success Message completed"")",Chrome 87.0.4280.88,,,2021-01-05 20:15:07,2021-01-05 20:15:12,5.098s,PASSED
delay(3),Chrome 87.0.4280.88,,,2021-01-05 20:15:12,2021-01-05 20:15:15,3.004s,PASSED
,,,,,,,
Test Cases/SF_Lightning/Service/TaT_Cases/TC08_Agent Update the Subject and Exit Milestone,Chrome 87.0.4280.88,,,2021-01-05 20:15:15,2021-01-05 20:15:34,18.483s,PASSED
refresh(),Chrome 87.0.4280.88,,,2021-01-05 20:15:15,2021-01-05 20:15:16,0.612s,PASSED
delay(5),Chrome 87.0.4280.88,,,2021-01-05 20:15:16,2021-01-05 20:15:21,5.015s,PASSED
"enhancedClick(findTestObject(""SF_Lightning/Service/TaT_Cases/Case_Drop Down""))",Chrome 87.0.4280.88,,,2021-01-05 20:15:21,2021-01-05 20:15:22,0.945s,PASSED
delay(2),Chrome 87.0.4280.88,,,2021-01-05 20:15:22,2021-01-05 20:15:24,2.012s,PASSED
"enhancedClick(findTestObject(""SF_Lightning/Service/TaT_Cases/Case_Edit B""))",Chrome 87.0.4280.88,,,2021-01-05 20:15:24,2021-01-05 20:15:25,0.646s,PASSED
"setText(findTestObject(""SF_Lightning/Service/TaT_Cases/Case_Edit_Subject""), ""Case is closed."")",Chrome 87.0.4280.88,,,2021-01-05 20:15:25,2021-01-05 20:15:27,2.446s,PASSED
"click(findTestObject(""SF_Lightning/Service/TaT_Cases/Case_Edit_Save B""))",Chrome 87.0.4280.88,,,2021-01-05 20:15:27,2021-01-05 20:15:28,0.531s,PASSED
refresh(),Chrome 87.0.4280.88,,,2021-01-05 20:15:28,2021-01-05 20:15:28,0.035s,PASSED
delay(5),Chrome 87.0.4280.88,,,2021-01-05 20:15:28,2021-01-05 20:15:33,5.009s,PASSED
closeBrowser(),Chrome 87.0.4280.88,,,2021-01-05 20:15:33,2021-01-05 20:15:34,0.983s,PASSED
